"","Scenario_ID","K","m","betas","rho0s","rho1","rho2","varYs","1a. P-Value Bonf. (mean)","1a. P-Value Bonf. (true)","1b. P-Value Sidak (mean)","1b. P-Value Sidak (true)","1c. P-Value DAP (mean)","1c. P-Value DAP (true)","2. Combined (mean)","2. Combined (true)","3. Single Weighted (mean)","3. Single Weighted (true)","4a. Disjunctive F (mean)","4a. Disjunctive F (true)","4b. Disjunctive Chi2 (mean)","4b. Disjunctive Chi2 (true)","5a. Conjunctive T (mean)","5a. Conjunctive T (true)","5b. Conjunctive MVN (mean)","5b. Conjunctive MVN (true)"
"1",2,8,60,"(0.25, 0.25)","(0.05, 0.1)",0.005,0.2,"(1, 1)",23.53,22.16,23.64,22.31,24.92,23.94,62.89,61.45,67.29,63.81,59.21,43.87,66.99,54.3,29.68,26.04,31.75,28.2
"2",8,8,60,"(0.25, 0.25)","(0.05, 0.1)",0.005,0.5,"(1, 1)",23.39,22.16,23.51,22.31,26.79,26.56,60.33,59.34,64.5,61.6,56.86,42.06,64.6,52.19,29.65,26.82,31.69,29.06
"3",6,8,60,"(0.25, 0.25)","(0.1, 0.05)",0.005,0.2,"(1, 1)",23.34,22.16,23.45,22.31,24.71,23.94,62.17,61.45,66.12,63.81,58.29,43.87,66.03,54.3,29.44,26.05,31.44,28.2
"4",12,8,60,"(0.25, 0.25)","(0.1, 0.05)",0.005,0.5,"(1, 1)",24.74,22.16,24.85,22.31,28.17,26.56,61.93,59.34,65.99,61.6,58.1,42.06,65.85,52.19,31.01,26.82,33.09,29.06
"5",4,8,60,"(0.25, 0.25)","(0.1, 0.1)",0.005,0.2,"(1, 1)",17.79,22.16,17.89,22.31,19.02,23.94,55.4,52.16,58.3,52.16,50.28,33.69,57.71,42.06,22.27,18.63,23.78,19.8
"6",10,8,60,"(0.25, 0.25)","(0.1, 0.1)",0.005,0.5,"(1, 1)",18.97,22.16,19.07,22.31,22.13,26.56,55.82,50.58,59.03,50.58,51.17,32.52,58.88,40.61,23.83,19.25,25.48,20.48
"7",1,8,60,"(0.25, 0.4)","(0.05, 0.1)",0.005,0.2,"(1, 1)",35.15,38.49,35.28,38.68,36.78,40.74,77.85,83.31,79.08,82.93,70.64,63.02,77.92,74.88,43.3,44.1,46.19,48.35
"8",7,8,60,"(0.25, 0.4)","(0.05, 0.1)",0.005,0.5,"(1, 1)",35.63,38.49,35.77,38.68,39.64,43.94,77.03,81.46,78.08,80.99,69.75,60.74,77.08,72.62,44.14,44.8,47.09,49.05
"9",5,8,60,"(0.25, 0.4)","(0.1, 0.05)",0.005,0.2,"(1, 1)",31.16,22.16,31.28,22.31,32.66,23.94,77.77,83.31,83.32,87.36,78.29,74.97,84.74,85.67,40.39,37.35,42.98,40.69
"10",11,8,60,"(0.25, 0.4)","(0.1, 0.05)",0.005,0.5,"(1, 1)",32.43,22.16,32.56,22.31,36.17,26.56,77.94,81.46,83.06,85.66,78.67,73.42,85.12,84.38,42.34,37.66,45.04,40.98
"11",3,8,60,"(0.25, 0.4)","(0.1, 0.1)",0.005,0.2,"(1, 1)",27.24,22.16,27.36,22.31,28.72,23.94,71.59,74.49,73.97,74.49,66.11,55.63,73.63,67.36,34.36,31.05,36.74,33.83
"12",9,8,60,"(0.25, 0.4)","(0.1, 0.1)",0.005,0.5,"(1, 1)",27.7,22.16,27.82,22.31,31.37,26.56,71.83,72.8,73.87,72.8,66.17,54.11,73.97,65.75,35.36,31.53,37.8,34.36
